Order,Ticker,Type,Discreet?,YearMonthDayUTC,Address,State,Zip,Zip4,Cars,Notes,UTC,Time_Date,Time,Month,Day,Year,Spaces,Population,Male_Population,Female_Population,Population_Density,5_Year_Projected_Population_Growth,Average_ Family_Size,Family_Households,Households,Age_Below_18,Age_18_Plus,Age_65_Plus,Associate_Degree,Bachelors_Degree,High_Schl_ Grad,PPHouseholds_1,PPHouseholds_2,MT2PPHousehold_2Plus,Per_Capita_Income,Median_Disposable_Household_Income,PCTWhitePop,PCTAIANPop,PCTAPop,PCTBPop,PCTHPIPop,PCTHisPop,PCTMultiracePop,PCTOtherRacePop,PCTMinority,PCTNo_Vehicle,PCT_1_Vehicle,PCT_2_Vehicles,PCTMore_2_Vehicles,PCTCivilian_Unemp,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Category,PrePost,DOW,Shifted Month,WMT-Q,Week End,Unique Location,Unique Location & Year,Duplicate?,Year Repeat?,Same Store in Two Years?,Region,Sub Region,Create Year
771,CMG,CMG_1376,,14JUN30191504,4229 University Way NE Seattle,WA,98105,,6,6/30/2014,,6/30/2014 12:15,12:15,6,30,2014,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,2,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62014,0,0,0,West,Pacific,2015
772,CMG,CMG_1376,,15JUN08192420,4229 University Way NE Seattle,WA,98105,,6,6/8/2015,,6/8/2015 12:24,12:24,6,8,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,2,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
773,CMG,CMG_1376,,15JUN09191707,4229 University Way NE Seattle,WA,98105,,9,6/9/2015,,6/9/2015 12:17,12:17,6,9,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,3,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
774,CMG,CMG_1376,,15JUN17190606,4229 University Way NE Seattle,WA,98105,,3,6/17/2015,,6/17/2015 12:06,12:06,6,17,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,4,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
775,CMG,CMG_1376,,15JUN20190238,4229 University Way NE Seattle,WA,98105,,6,6/20/2015,,6/20/2015 12:02,12:02,6,20,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,7,6,0,1,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
776,CMG,CMG_1376,,15JUN23191000,4229 University Way NE Seattle,WA,98105,,8,6/23/2015,,6/23/2015 12:10,12:10,6,23,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,3,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
777,CMG,CMG_1376,,15JUN29191307,4229 University Way NE Seattle,WA,98105,,7,6/29/2015,,6/29/2015 12:13,12:13,6,29,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,2,6,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA6,CMG4229 UNIVERSITY WAY NE SEATTLEWA62015,0,0,0,West,Pacific,2015
907,CMG,CMG_1376,,14MAR05191252,4229 University Way NE Seattle,WA,98105,,6,3/5/2014,,3/5/2014 11:12,11:12,3,5,2014,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,3,0,0,0,3,Pre,4,3,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32014,0,0,0,West,Pacific,2015
908,CMG,CMG_1376,,14MAR12190907,4229 University Way NE Seattle,WA,98105,,9,3/12/2014,,3/12/2014 12:09,12:09,3,12,2014,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,4,3,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32014,0,0,0,West,Pacific,2015
909,CMG,CMG_1376,,14MAR23192441,4229 University Way NE Seattle,WA,98105,,8,3/23/2014,,3/23/2014 12:24,12:24,3,23,2014,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,1,3,0,1,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32014,0,0,0,West,Pacific,2015
910,CMG,CMG_1376,,14MAR24191638,4229 University Way NE Seattle,WA,98105,,9,3/24/2014,,3/24/2014 12:16,12:16,3,24,2014,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,2,3,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32014,0,0,0,West,Pacific,2015
911,CMG,CMG_1376,,15MAR03192054,4229 University Way NE Seattle,WA,98105,,8,3/3/2015,,3/3/2015 11:20,11:20,3,3,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,3,0,0,0,3,Pre,3,3,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32015,0,0,0,West,Pacific,2015
912,CMG,CMG_1376,,15MAR04191325,4229 University Way NE Seattle,WA,98105,,5,3/4/2015,,3/4/2015 11:13,11:13,3,4,2015,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,3,0,0,0,3,Pre,4,3,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA3,CMG4229 UNIVERSITY WAY NE SEATTLEWA32015,0,0,0,West,Pacific,2015
663,CMG,CMG_1376,,13MAY10191414,4229 University Way NE Seattle,WA,98105,,3,5/10/2013,,5/10/2013 12:14,12:14,5,10,2013,10,39756,0.5128,0.4872,12017.92,0.0656,2.8,5830,16469,0.1218,0.8782,0.0885,0.0571,0.3593,0.076,0.4517,0.289,0.2593,34649,41121,0.7534,0.0034,0.1616,0.0295,0.0033,0.0544,0.0382,0.0106,0.2466,0.1895,0.4125,0.2715,0.1265,0.1148,0,0,0,0,5,0,5,Post,6,5,0,0,CMG4229 UNIVERSITY WAY NE SEATTLEWA5,CMG4229 UNIVERSITY WAY NE SEATTLEWA52013,0,0,0,West,Pacific,2014
