Order,Ticker,Type,Discreet?,YearMonthDayUTC,Address,State,Zip,Zip4,Cars,Notes,UTC,Time_Date,Time,Month,Day,Year,Spaces,Population,Male_Population,Female_Population,Population_Density,5_Year_Projected_Population_Growth,Average_ Family_Size,Family_Households,Households,Age_Below_18,Age_18_Plus,Age_65_Plus,Associate_Degree,Bachelors_Degree,High_Schl_ Grad,PPHouseholds_1,PPHouseholds_2,MT2PPHousehold_2Plus,Per_Capita_Income,Median_Disposable_Household_Income,PCTWhitePop,PCTAIANPop,PCTAPop,PCTBPop,PCTHPIPop,PCTHisPop,PCTMultiracePop,PCTOtherRacePop,PCTMinority,PCTNo_Vehicle,PCT_1_Vehicle,PCT_2_Vehicles,PCTMore_2_Vehicles,PCTCivilian_Unemp,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Category,PrePost,DOW,Shifted Month,WMT-Q,Week End,Unique Location,Unique Location & Year,Duplicate?,Year Repeat?,Same Store in Two Years?,Region,Sub Region,Create Year
130,CMG,CMG_1782,,12APR04191642,17250 Southcenter Parkway  Tukwila,WA,98188,,14,4/4/2012,,4/4/2012 12:16,12:16,4,4,2012,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,4,0,0,CMG_1782_12APR04,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA42012,0,0,0,West,Pacific,2012
303,CMG,CMG_1782,,12APR07183738,17250 Southcenter Parkway  Tukwila,WA,98188,,9,4/7/2012,,4/7/2012 11:37,11:37,4,7,2012,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,4,0,0,4,Post,7,4,0,1,CMG_1782_12APR07,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA42012,0,0,0,West,Pacific,2012
2478,CMG,CMG_1782,,12APR07183738,17250 Southcenter Parkway Renton,WA,98188,,11,4/7/2012,,4/7/2012 11:37,11:37,4,7,2012,20,22963,0.5207,0.4793,3008.53,0.0499,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,4,0,0,4,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42012,0,0,0,West,Pacific,2013
2479,CMG,CMG_1782,,12APR21191652,17250 Southcenter Parkway Renton,WA,98188,,14,4/21/2012,,4/21/2012 12:16,12:16,4,21,2012,20,22963,0.5207,0.4793,3008.53,0.0499,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42012,0,0,0,West,Pacific,2013
1311,CMG,CMG_1782,,14APR13191318,17250 Southcenter Parkway Renton,WA,98188,,19,4/13/2014,,4/13/2014 12:13,12:13,4,13,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2014
1812,CMG,CMG_1782,,14APR13191318,17250 Southcenter Parkway Renton,WA,98188,,16,4/13/2014,,4/13/2014 12:13,12:13,4,13,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1813,CMG,CMG_1782,,14APR18192415,17250 Southcenter Parkway Renton,WA,98188,,17,4/18/2014,,4/18/2014 12:24,12:24,4,18,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,6,4,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1814,CMG,CMG_1782,,14APR26191251,17250 Southcenter Parkway Renton,WA,98188,,15,4/26/2014,,4/26/2014 12:12,12:12,4,26,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1815,CMG,CMG_1782,,15APR18191640,17250 Southcenter Parkway Renton,WA,98188,,14,4/18/2015,,4/18/2015 12:16,12:16,4,18,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
1816,CMG,CMG_1782,,15APR19190952,17250 Southcenter Parkway Renton,WA,98188,,14,4/19/2015,,4/19/2015 12:09,12:09,4,19,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
1817,CMG,CMG_1782,,15APR20190224,17250 Southcenter Parkway Renton,WA,98188,,15,4/20/2015,,4/20/2015 12:02,12:02,4,20,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,2,4,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
1818,CMG,CMG_1782,,15APR24191317,17250 Southcenter Parkway Renton,WA,98188,,14,4/24/2015,,4/24/2015 12:13,12:13,4,24,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,6,4,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
1819,CMG,CMG_1782,,15APR27192208,17250 Southcenter Parkway Renton,WA,98188,,17,4/27/2015,,4/27/2015 12:22,12:22,4,27,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,2,4,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
370,CMG,CMG_1782,,11AUG26194736,17250 Southcenter Parkway  Tukwila,WA,98188,,11,8/26/2011,,8/26/2011 19:47,19:47,8,26,2011,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,0,0,0,Post,6,8,0,0,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA8,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA82011,0,0,0,West,Pacific,2012
1975,CMG,CMG_1782,,13AUG16190944,17250 Southcenter Parkway Renton,WA,98188,,18,8/16/2013,,8/16/2013 12:09,12:09,8,16,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,6,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82013,0,0,0,West,Pacific,2014
1976,CMG,CMG_1782,,13AUG21192103,17250 Southcenter Parkway Renton,WA,98188,,12,8/21/2013,,8/21/2013 12:21,12:21,8,21,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82013,0,0,0,West,Pacific,2014
1977,CMG,CMG_1782,,13AUG22191458,17250 Southcenter Parkway Renton,WA,98188,,13,8/22/2013,,8/22/2013 12:14,12:14,8,22,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,5,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82013,0,0,0,West,Pacific,2014
1978,CMG,CMG_1782,,14AUG02190932,17250 Southcenter Parkway Renton,WA,98188,,14,8/2/2014,,8/2/2014 12:09,12:09,8,2,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,8,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82014,0,0,0,West,Pacific,2014
1505,CMG,CMG_1782,,14AUG02190932,17250 Southcenter Parkway Renton,WA,98188,,14,8/2/2014,,8/2/2014 12:09,12:09,8,2,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,8,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82014,0,0,0,West,Pacific,2015
1506,CMG,CMG_1782,,14AUG26192431,17250 Southcenter Parkway Renton,WA,98188,,15,8/26/2014,,8/26/2014 12:24,12:24,8,26,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,3,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82014,0,0,0,West,Pacific,2015
1507,CMG,CMG_1782,,14AUG27191725,17250 Southcenter Parkway Renton,WA,98188,,14,8/27/2014,,8/27/2014 12:17,12:17,8,27,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82014,0,0,0,West,Pacific,2015
1508,CMG,CMG_1782,,15AUG01190948,17250 Southcenter Parkway Renton,WA,98188,,12,8/1/2015,,8/1/2015 12:09,12:09,8,1,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,8,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1509,CMG,CMG_1782,,15AUG07191415,17250 Southcenter Parkway Renton,WA,98188,,13,8/7/2015,,8/7/2015 12:14,12:14,8,7,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,6,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1510,CMG,CMG_1782,,15AUG12192539,17250 Southcenter Parkway Renton,WA,98188,,17,8/12/2015,,8/12/2015 12:25,12:25,8,12,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1511,CMG,CMG_1782,,15AUG13191745,17250 Southcenter Parkway Renton,WA,98188,,15,8/13/2015,,8/13/2015 12:17,12:17,8,13,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,5,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1512,CMG,CMG_1782,,15AUG18192858,17250 Southcenter Parkway Renton,WA,98188,,18,8/18/2015,,8/18/2015 12:28,12:28,8,18,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,3,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1513,CMG,CMG_1782,,15AUG19192145,17250 Southcenter Parkway Renton,WA,98188,,13,8/19/2015,,8/19/2015 12:21,12:21,8,19,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1514,CMG,CMG_1782,,15AUG25192456,17250 Southcenter Parkway Renton,WA,98188,,12,8/25/2015,,8/25/2015 12:24,12:24,8,25,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,3,8,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA8,CMG17250 SOUTHCENTER PARKWAY RENTONWA82015,0,0,0,West,Pacific,2015
1068,CMG,CMG_1782,,13DEC03191900,17250 Southcenter Parkway Renton,WA,98188,,11,12/3/2013,,12/3/2013 11:19,11:19,12,3,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,12,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA12,CMG17250 SOUTHCENTER PARKWAY RENTONWA122013,0,0,0,West,Pacific,2013
1320,CMG,CMG_1782,,13DEC03191922,17250 Southcenter Parkway Renton,WA,98188,,18,12/3/2013,,12/3/2013 11:19,11:19,12,3,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,12,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA12,CMG17250 SOUTHCENTER PARKWAY RENTONWA122013,0,0,0,West,Pacific,2014
1321,CMG,CMG_1782,,14DEC01192919,17250 Southcenter Parkway Renton,WA,98188,,14,12/1/2014,,12/1/2014 11:29,11:29,12,1,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,2,12,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA12,CMG17250 SOUTHCENTER PARKWAY RENTONWA122014,0,0,0,West,Pacific,2014
1322,CMG,CMG_1782,,14DEC02192111,17250 Southcenter Parkway Renton,WA,98188,,10,12/2/2014,,12/2/2014 11:21,11:21,12,2,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,12,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA12,CMG17250 SOUTHCENTER PARKWAY RENTONWA122014,0,0,0,West,Pacific,2014
1269,CMG,CMG_1782,,14DEC01192919,17250 Southcenter Parkway Renton,WA,98188,,15,12/1/2014,,12/1/2014 11:29,11:29,12,1,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,2,12,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA12,CMG17250 SOUTHCENTER PARKWAY RENTONWA122014,0,0,0,West,Pacific,2015
682,CMG,CMG_1782,,12FEB04192730,17250 Southcenter Parkway Tukwila,WA,98188,,11,2/4/2012,,2/4/2012 11:27,11:27,2,4,2012,20,22963,0.5207,0.4793,3008.53,0.0499,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,7,2,0,1,CMG17250 SOUTHCENTER PARKWAY TUKWILAWA2,CMG17250 SOUTHCENTER PARKWAY TUKWILAWA22012,0,0,0,West,Pacific,2013
610,CMG,CMG_1782,,13FEB15190914,17250 Southcenter Parkway Renton,WA,98188,,14,2/15/2013,,2/15/2013 11:09,11:09,2,15,2013,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,6,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22013,0,0,0,West,Pacific,2014
1453,CMG,CMG_1782,,14FEB13191722,17250 Southcenter Parkway Renton,WA,98188,,15,2/13/2014,,2/13/2014 11:17,11:17,2,13,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,5,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22014,0,0,0,West,Pacific,2015
1454,CMG,CMG_1782,,14FEB25192507,17250 Southcenter Parkway Renton,WA,98188,,13,2/25/2014,,2/25/2014 11:25,11:25,2,25,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22014,0,0,0,West,Pacific,2015
1455,CMG,CMG_1782,,15FEB17192852,17250 Southcenter Parkway Renton,WA,98188,,15,2/17/2015,,2/17/2015 11:28,11:28,2,17,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22015,0,0,0,West,Pacific,2015
1456,CMG,CMG_1782,,15FEB23193225,17250 Southcenter Parkway Renton,WA,98188,,19,2/23/2015,,2/23/2015 11:32,11:32,2,23,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,4,0,0,4,Post,2,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22015,0,0,0,West,Pacific,2015
1457,CMG,CMG_1782,,15FEB24192441,17250 Southcenter Parkway Renton,WA,98188,,19,2/24/2015,,2/24/2015 11:24,11:24,2,24,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,3,0,0,0,3,Pre,3,2,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA2,CMG17250 SOUTHCENTER PARKWAY RENTONWA22015,0,0,0,West,Pacific,2015
